Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date,Total_Price_Binned,Cluster
ORD1,CUS1496,0,Vio Wasser,3,-0.2784759583134072,1.1032660127813214,1.5526763581940168,-0.10122900446119895,0,8/23/2023,High,2
ORD1,CUS1496,0,Evian,3,-0.28533961228523147,2.475869317750815,1.5526763581940168,-0.006465347541349802,0,8/23/2023,High,2
ORD1,CUS1496,0,Sprite,2,-0.3121078627753461,1.8452137451972639,0.4425379294175691,-0.09729223533099751,0,8/23/2023,High,2
ORD1,CUS1496,0,Rauch Multivitamin,1,-0.17140295635294897,1.325850332506104,1.5526763581940168,0.08315640684109336,0,8/23/2023,High,2
ORD1,CUS1496,0,Gerolsteiner,3,-0.3326988246908188,0.43551305360697296,1.5526763581940168,-0.20523201750294948,0,8/23/2023,Medium,0
ORD2,CUS2847,1,Sauvignon Blanc,0,0.23149353179313428,-0.7887007048793323,-0.6676004993588787,-0.22375090086032567,14,3/16/2023,Medium,1
ORD3,CUS1806,0,Tomato Juice,1,-0.24553041924865085,0.7693895331941472,1.5526763581940168,-0.09006143488777038,5,11/20/2022,High,0
ORD3,CUS1806,0,Vittel,3,-0.3628989021668455,-0.38062945205056387,0.4425379294175691,-0.24960101244486277,5,11/20/2022,Low,0
ORD3,CUS1806,0,San Pellegrino,3,-0.30936240118661634,2.5500640909924095,1.5526763581940168,-0.05902924965225385,5,11/20/2022,High,2
ORD3,CUS1806,0,Evian,3,-0.29769418943451514,-0.7516033182585352,0.4425379294175691,-0.2523728192814332,5,11/20/2022,Low,0
ORD4,CUS2275,1,Mountain Dew,2,-0.3244624399246297,-0.45482422529215816,-0.6676004993588787,-0.23839327175786068,1,11/5/2023,Low,1
ORD5,CUS7919,0,Hohes C Orange,1,-0.2880850738739612,-0.5661163851545495,0.4425379294175691,-0.2370676250099357,1,8/5/2023,Medium,0
ORD5,CUS7919,0,Red Bull,2,-0.2462167846458333,-0.2693372921881725,0.4425379294175691,-0.19522941022315193,1,8/5/2023,Medium,0
ORD5,CUS7919,0,Chardonnay,0,0.05029306693697418,-0.7516033182585352,0.4425379294175691,-0.22334918972459086,1,8/5/2023,Medium,0
ORD5,CUS7919,0,Tanqueray,0,1.897302350754879,0.7322921465733501,2.6628147869704644,2.1887855814656265,1,8/5/2023,High,2
ORD6,CUS533,0,Rotkäppchen Sekt,0,0.01185660469475837,0.7693895331941472,0.4425379294175691,0.23423996499096733,11,2/18/2023,High,0
ORD6,CUS533,0,Mango Juice,1,-0.22082126495008356,-0.4919216119129553,0.4425379294175691,-0.21256324573011035,11,2/18/2023,Medium,0
ORD6,CUS533,0,Apollinaris,3,-0.3361306516767309,-0.38062945205056387,0.4425379294175691,-0.23991977407365309,11,2/18/2023,Low,0
ORD6,CUS533,0,Mountain Dew,2,-0.26406228497257633,2.438771931130018,2.6628147869704644,0.023883928763417488,11,2/18/2023,High,2
ORD6,CUS533,0,Riesling,0,0.3955348617197338,-0.08385035908418685,0.4425379294175691,0.1997530639881312,11,2/18/2023,High,0
ORD7,CUS9366,1,Vio Wasser,3,-0.28190778529931937,-0.38062945205056387,-0.6676004993588787,-0.2182273727439716,0,1/12/2021,Medium,1
ORD7,CUS9366,1,Rauch Multivitamin,1,-0.23386220749654962,-0.6032137717753466,-0.6676004993588787,-0.22778809777446085,0,1/12/2021,Medium,1
ORD8,CUS6944,1,Granini Apple,1,-0.2798486891077721,-0.7887007048793323,-0.6676004993588787,-0.2536783804725714,14,12/3/2022,Low,1
ORD8,CUS6944,1,Fanta,2,-0.31073513198098124,-0.30643467880896963,-0.6676004993588787,-0.2244137242342882,14,12/3/2022,Medium,1
ORD9,CUS6010,1,Hohes C Orange,1,-0.26886684275285333,-0.7887007048793323,-0.6676004993588787,-0.2530356426553957,15,6/23/2022,Low,1
ORD9,CUS6010,1,Rockstar,2,-0.23660766908527933,-0.4919216119129553,-0.6676004993588787,-0.21467222919271828,15,6/23/2022,Medium,1
ORD10,CUS9472,0,Club Mate,2,-0.23386220749654962,0.3613182803653787,0.4425379294175691,-0.11480684084903661,1,4/9/2023,High,0
ORD10,CUS9472,0,Sprite,2,-0.31073513198098124,2.2532849980260323,1.5526763581940168,-0.079576774245091,1,4/9/2023,High,2
ORD10,CUS9472,0,Vio Wasser,3,-0.2578849963979345,2.0677980649220467,1.5526763581940168,0.01964587628141494,1,4/9/2023,High,2
ORD11,CUS3565,0,Krombacher,0,-0.2750441313274951,1.9936032916804522,2.6628147869704644,-0.035468891541405374,3,1/5/2021,High,2
ORD12,CUS2896,1,Erdinger Weißbier,0,-0.2523940732204751,-0.3435320654297668,-0.6676004993588787,-0.2029020929156874,9,4/13/2023,Medium,1
ORD12,CUS2896,1,Granini Apple,1,-0.27641686212186,-0.6032137717753466,-0.6676004993588787,-0.23650522941990693,9,4/13/2023,Medium,1
ORD12,CUS2896,1,Volvic Touch,3,-0.2922032662570557,-0.7887007048793323,-0.6676004993588787,-0.2544014605168941,9,4/13/2023,Low,1
ORD12,CUS2896,1,Volvic,3,-0.3526034212091091,-0.5290189985337524,-0.6676004993588787,-0.24978178245594343,9,4/13/2023,Low,1
ORD12,CUS2896,1,Fanta,2,-0.30798967039225145,-0.45482422529215816,-0.6676004993588787,-0.23309068476616077,9,4/13/2023,Medium,1
ORD13,CUS6839,1,Rotkäppchen Sekt,0,0.19374343494810087,-0.6403111583961438,-0.6676004993588787,-0.15734805012335634,7,2/6/2023,High,1
ORD13,CUS6839,1,Volvic Touch,3,-0.2922032662570557,-0.7516033182585352,-0.6676004993588787,-0.2514689692260298,7,2/6/2023,Low,1
ORD13,CUS6839,1,Schwip Schwap,2,-0.3052442088035218,-0.714505931637738,-0.6676004993588787,-0.25006298025095786,7,2/6/2023,Low,1
ORD13,CUS6839,1,Fritz-Kola,2,-0.2469031500430157,-0.45482422529215816,-0.6676004993588787,-0.21342692467194027,7,2/6/2023,Medium,1
ORD14,CUS1819,1,Club Mate,2,-0.24209859226273875,-0.7516033182585352,-0.6676004993588787,-0.24707023228973327,13,10/16/2022,Low,1
ORD14,CUS1819,1,Rotkäppchen Sekt,0,0.17658430001854025,-0.38062945205056387,-0.6676004993588787,-0.04380439760790335,13,10/16/2022,High,1
ORD14,CUS1819,1,Tomato Juice,1,-0.16385293698394232,-0.7887007048793323,-0.6676004993588787,-0.24688946227865258,13,10/16/2022,Low,1
ORD14,CUS1819,1,Coca-Cola,2,-0.3189715167471703,-0.7516033182585352,-0.6676004993588787,-0.25381897937007863,13,10/16/2022,Low,1
ORD15,CUS3088,1,Selters,3,-0.3608398059752982,-0.5290189985337524,-0.6676004993588787,-0.2519510225889116,7,10/15/2021,Low,1
ORD15,CUS3088,1,Cranberry Juice,1,-0.1549301868205708,-0.6032137717753466,-0.6676004993588787,-0.21161922456113347,7,10/15/2021,Medium,1
ORD16,CUS2524,1,Riesling,0,-0.09590276266288227,-0.38062945205056387,-0.6676004993588787,-0.14746595618427927,9,3/20/2023,High,1
ORD17,CUS9592,0,Cranberry Juice,1,-0.20640759160925265,0.4726104402277701,2.6628147869704644,-0.09369692066617066,8,7/13/2021,High,2
ORD17,CUS9592,0,Fanta,2,-0.32789426691054185,2.475869317750815,1.5526763581940168,-0.10733501372436856,8,7/13/2021,High,2
ORD17,CUS9592,0,Rauch Multivitamin,1,-0.19268028366560414,2.1048954515428435,1.5526763581940168,0.1605661426971974,8,7/13/2021,High,2
ORD18,CUS4060,0,Mezzo Mix,2,-0.28739870847677873,2.5500640909924095,1.5526763581940168,-0.0058226097241740405,5,12/15/2021,High,2
ORD18,CUS4060,0,Fritz-Kola,2,-0.21944853415571872,1.5484346522308867,1.5526763581940168,0.035834835051529006,5,12/15/2021,High,2
ORD19,CUS1921,1,Club Mate,2,-0.23729403448246178,-0.6774085450169409,-0.6676004993588787,-0.23756976392960424,10,4/5/2023,Low,1
ORD19,CUS1921,1,Beck's,0,-0.29563509324296783,-0.3435320654297668,-0.6676004993588787,-0.22061755400159394,10,4/5/2023,Medium,1
ORD19,CUS1921,1,Tanqueray,0,2.0544800267096544,-0.3435320654297668,-0.6676004993588787,0.7422036961276748,10,4/5/2023,High,1
ORD19,CUS1921,1,Red Bull,2,-0.23111674590781994,-0.417726838671361,-0.6676004993588787,-0.20362517296001012,10,4/5/2023,Medium,1
ORD19,CUS1921,1,Vio Wasser,3,-0.2750441313274951,-0.714505931637738,-0.6676004993588787,-0.24652792225649123,10,4/5/2023,Low,1
ORD20,CUS1195,0,Vittel,3,-0.3388761132654606,1.882311131818061,1.5526763581940168,-0.15592197559149767,4,2/9/2022,High,2
ORD20,CUS1195,0,Beck's,0,-0.31485332436407576,0.4726104402277701,0.4425379294175691,-0.18263576611786464,4,2/9/2022,High,0
ORD21,CUS1877,1,Club Mate,2,-0.2462167846458333,-0.7516033182585352,-0.6676004993588787,-0.24743177231189462,12,3/24/2021,Low,1
ORD21,CUS1877,1,Volvic,3,-0.3546625174006564,-0.417726838671361,-0.6676004993588787,-0.24700997561937305,12,3/24/2021,Low,1
ORD21,CUS1877,1,Apollinaris,3,-0.3285806323077243,-0.5290189985337524,-0.6676004993588787,-0.2434548320681197,12,3/24/2021,Low,1
ORD22,CUS3663,1,Rauch Multivitamin,1,-0.22905764971627268,-0.6403111583961438,-0.6676004993588787,-0.23158426800715512,4,9/19/2022,Medium,1
ORD22,CUS3663,1,Passion Fruit Juice,1,-0.18513026429659749,-0.5290189985337524,-0.6676004993588787,-0.2056738997522578,4,9/19/2022,Medium,1
ORD22,CUS3663,1,Beck's,0,-0.29838055483169756,-0.5290189985337524,-0.6676004993588787,-0.23550095158056983,4,9/19/2022,Medium,1
ORD23,CUS6385,1,Mezzo Mix,2,-0.35054432501756183,-0.8257980915001295,-0.6676004993588787,-0.2590412241346315,14,3/4/2022,Low,1
ORD23,CUS6385,1,Fritz-Kola,2,-0.2517077078232927,-0.4919216119129553,-0.6676004993588787,-0.21909105168580154,14,3/4/2022,Medium,1
ORD23,CUS6385,1,Monster,2,-0.17208932175013142,-0.7887007048793323,-0.6676004993588787,-0.2473715156415344,14,3/4/2022,Low,1
ORD24,CUS1403,1,Vittel,3,-0.35397615200347393,-0.714505931637738,-0.6676004993588787,-0.2557672783783926,9,1/24/2021,Low,1
